Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
48,9,1,38,3,Some Random Commen with Id 48
49,9,1,168,0,Some Random Commen with Id 49
50,9,1,123,6,Some Random Commen with Id 50
51,10,9,46,7,Some Random Commen with Id 51
52,10,9,74,3,Some Random Commen with Id 52
53,10,9,109,1,Some Random Commen with Id 53
54,10,9,90,2,Some Random Commen with Id 54
55,10,9,2,4,Some Random Commen with Id 55
56,10,9,22,6,Some Random Commen with Id 56
57,13,1,47,7,Some Random Commen with Id 57
58,13,1,157,2,Some Random Commen with Id 58
59,13,1,193,3,Some Random Commen with Id 59
60,13,1,48,8,Some Random Commen with Id 60
61,13,1,52,5,Some Random Commen with Id 61
62,13,1,181,0,Some Random Commen with Id 62
63,13,1,189,1,Some Random Commen with Id 63
64,13,1,13,2,Some Random Commen with Id 64
65,13,1,99,7,Some Random Commen with Id 65
66,14,6,152,3,Some Random Commen with Id 66
67,14,6,110,4,Some Random Commen with Id 67
68,14,6,29,8,Some Random Commen with Id 68
69,14,6,94,4,Some Random Commen with Id 69
70,14,6,2,9,Some Random Commen with Id 70
71,14,6,26,5,Some Random Commen with Id 71
72,14,6,39,0,Some Random Commen with Id 72
73,14,6,164,2,Some Random Commen with Id 73
74,15,1,90,8,Some Random Commen with Id 74
75,15,1,108,5,Some Random Commen with Id 75
76,15,1,194,0,Some Random Commen with Id 76
77,15,1,41,5,Some Random Commen with Id 77
78,15,1,41,6,Some Random Commen with Id 78
79,15,1,157,0,Some Random Commen with Id 79
80,15,1,71,1,Some Random Commen with Id 80
81,18,7,31,8,Some Random Commen with Id 81
82,18,7,7,0,Some Random Commen with Id 82
83,18,7,192,4,Some Random Commen with Id 83
84,18,7,17,5,Some Random Commen with Id 84
85,18,7,4,4,Some Random Commen with Id 85
86,18,7,99,7,Some Random Commen with Id 86
87,18,7,71,6,Some Random Commen with Id 87
88,18,7,36,8,Some Random Commen with Id 88
89,19,8,76,6,Some Random Commen with Id 89
90,19,8,53,1,Some Random Commen with Id 90
91,19,8,164,1,Some Random Commen with Id 91
92,19,8,32,2,Some Random Commen with Id 92
93,20,8,38,7,Some Random Commen with Id 93
94,20,8,122,5,Some Random Commen with Id 94
95,21,0,172,7,Some Random Commen with Id 95
96,21,0,112,7,Some Random Commen with Id 96
97,21,0,170,8,Some Random Commen with Id 97
98,21,0,57,9,Some Random Commen with Id 98
99,21,0,82,4,Some Random Commen with Id 99
100,22,2,32,7,Some Random Commen with Id 100
101,22,2,145,3,Some Random Commen with Id 101
102,22,2,10,3,Some Random Commen with Id 102
103,23,0,84,5,Some Random Commen with Id 103
104,23,0,135,7,Some Random Commen with Id 104
105,23,0,97,5,Some Random Commen with Id 105
106,23,0,10,5,Some Random Commen with Id 106
107,23,0,48,9,Some Random Commen with Id 107
108,23,0,189,2,Some Random Commen with Id 108
109,24,5,151,3,Some Random Commen with Id 109
110,24,5,62,7,Some Random Commen with Id 110
111,24,5,95,3,Some Random Commen with Id 111
112,24,5,106,9,Some Random Commen with Id 112
113,24,5,69,4,Some Random Commen with Id 113
114,24,5,140,8,Some Random Commen with Id 114
115,24,5,132,8,Some Random Commen with Id 115
116,25,3,128,1,Some Random Commen with Id 116
117,25,3,193,0,Some Random Commen with Id 117
118,25,3,57,2,Some Random Commen with Id 118
119,25,3,78,0,Some Random Commen with Id 119
120,25,3,124,1,Some Random Commen with Id 120
121,25,3,103,4,Some Random Commen with Id 121
122,25,3,11,3,Some Random Commen with Id 122
123,25,3,185,3,Some Random Commen with Id 123
124,26,6,97,8,Some Random Commen with Id 124
125,26,6,139,6,Some Random Commen with Id 125
126,26,6,55,2,Some Random Commen with Id 126
127,26,6,189,0,Some Random Commen with Id 127
128,26,6,20,1,Some Random Commen with Id 128
129,27,3,172,8,Some Random Commen with Id 129
130,28,4,7,0,Some Random Commen with Id 130
131,29,9,74,8,Some Random Commen with Id 131
132,30,2,196,3,Some Random Commen with Id 132
133,30,2,76,3,Some Random Commen with Id 133
134,30,2,168,9,Some Random Commen with Id 134
135,30,2,48,1,Some Random Commen with Id 135
136,30,2,31,3,Some Random Commen with Id 136
137,31,2,70,3,Some Random Commen with Id 137
138,31,2,97,1,Some Random Commen with Id 138
139,31,2,27,3,Some Random Commen with Id 139
140,31,2,124,3,Some Random Commen with Id 140
141,31,2,96,8,Some Random Commen with Id 141
142,32,1,74,0,Some Random Commen with Id 142
143,32,1,192,8,Some Random Commen with Id 143
144,32,1,41,1,Some Random Commen with Id 144
145,33,3,59,4,Some Random Commen with Id 145
146,33,3,166,3,Some Random Commen with Id 146
147,33,3,7,8,Some Random Commen with Id 147
148,34,7,99,4,Some Random Commen with Id 148
149,34,7,26,9,Some Random Commen with Id 149
150,34,7,115,4,Some Random Commen with Id 150
151,34,7,61,6,Some Random Commen with Id 151
152,34,7,191,9,Some Random Commen with Id 152
153,34,7,89,5,Some Random Commen with Id 153
154,34,7,143,8,Some Random Commen with Id 154
155,34,7,81,2,Some Random Commen with Id 155
156,34,7,117,2,Some Random Commen with Id 156
157,35,4,135,1,Some Random Commen with Id 157
158,35,4,124,4,Some Random Commen with Id 158
159,37,2,99,5,Some Random Commen with Id 159
160,37,2,77,6,Some Random Commen with Id 160
161,37,2,179,7,Some Random Commen with Id 161
162,37,2,157,8,Some Random Commen with Id 162
163,37,2,1,1,Some Random Commen with Id 163
164,37,2,28,1,Some Random Commen with Id 164
165,37,2,18,5,Some Random Commen with Id 165
166,38,4,12,2,Some Random Commen with Id 166
167,39,3,134,4,Some Random Commen with Id 167
168,39,3,3,9,Some Random Commen with Id 168
169,39,3,74,1,Some Random Commen with Id 169
170,39,3,117,0,Some Random Commen with Id 170
171,39,3,159,5,Some Random Commen with Id 171
172,39,3,82,0,Some Random Commen with Id 172
